surname,name,term,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,weights,wordcount
duynhoven,harry,47,0.0562884379,0.0349578367,0.0316594433,0.0179962944,0.0226222919,0.0248161746,0.1228432394,0.0339801323,0.0372626358,0.0120219099,0.0332339579,0.0407522231,0.0601407423,0.0063418295,0.0190468542,0.0196860001,0.0216110212,0.0248906134,0.0173728261,0.0145072945,0.0106266712,0.0363228959,0.039811151,0.0425727424,0.0276050704,0.0132866496,0.1195238173,0.0169445951,0.0254611976,0.0158134935,0.0006991396,31712
dyson,ruth,47,0.0312354699,0.0379630173,0.021082593,0.0184853317,0.0237895594,0.0396121641,0.0649208706,0.0867296167,0.0330250447,0.1212537932,0.0262763568,0.0092003428,0.0091465797,0.005794743,0.0509481659,0.023902807,0.0183649968,0.0089166483,0.0143078485,0.0228024526,0.0155208741,0.0364592513,0.0292820592,0.0193788743,0.0376012048,0.0767262976,0.0151152816,0.0113696503,0.0385451339,0.0522431283,0.0007405208,33589
eckhoff,gerrard,47,0.0254953313,0.0453087854,0.0236138599,0.0286329901,0.0191100824,0.0215114141,0.0243202298,0.0282539989,0.0169213156,0.0134053292,0.0138541208,0.1408551609,0.073036546,0.0153378849,0.046882254,0.0596583373,0.0128919827,0.0542254168,0.0345058685,0.0195158151,0.0133610711,0.0227495146,0.0805637431,0.0423913601,0.0282494403,0.0162460395,0.0201288361,0.0203135763,0.0249115884,0.0137481427,0.0017433955,79078
fairbrother,russell,47,0.0178243999,0.0326486485,0.1323762522,0.0199457902,0.0328944944,0.0249559238,0.0327000223,0.059795217,0.0286411719,0.0370021435,0.0349752759,0.0215761614,0.0190991272,0.015223649,0.056941901,0.0480520022,0.0409783186,0.0334276124,0.0205469456,0.030924423,0.0117266767,0.0244231757,0.0398281535,0.0317043722,0.0441338049,0.0236172695,0.016905362,0.0163790677,0.036885911,0.0138668085,0.0006311702,28629
fenton,darien,47,0.0475475504,0.0790790822,0.0190194573,0.0115115121,0.0175175173,0.0085085086,0.0115115121,0.0295295312,0.0085085086,0.0985986002,0.0160160168,0.0265265269,0.0040040042,0.0025025025,0.0805805811,0.0205205216,0.0070070073,0.0115115121,0.0235235243,0.0055055055,0.0160160168,0.0160160168,0.0370370386,0.0100100099,0.0115115121,0.0025025025,0.0085085086,0.0265265269,0.0145145147,0.3283281591,3.40177939506E-05,1543
field,taito,47,0.0672547776,0.0301291698,0.0202689108,0.0174228335,0.0518549964,0.0135727671,0.0351894741,0.0429831969,0.0661830497,0.0643226064,0.0411351996,0.0133507933,0.0146422482,0.0135794884,0.0446918485,0.032884354,0.0433406629,0.0225015589,0.031542407,0.0407519248,0.0121140756,0.0585558257,0.027485617,0.0190156315,0.0413860194,0.0265825882,0.0138420885,0.014808809,0.0488894591,0.0297171427,0.0003262004,14796
fitzsimons,jeanette,47,0.0370255106,0.0349267767,0.0393381575,0.0166823043,0.0209032746,0.0222262454,0.0529423727,0.0221100963,0.0267574735,0.0159070306,0.0133137817,0.0506064328,0.1766012783,0.0147586651,0.0231883494,0.0446766741,0.0106218657,0.0216205273,0.0364060486,0.0243679358,0.0089815978,0.0490813023,0.0274279329,0.0321657001,0.0247572099,0.0139213194,0.0686586014,0.0173662264,0.0374548269,0.0152044677,0.0024086716,109254
flavell,te,47,0.0066476735,0.0579297249,0.0080721746,0.0180436847,0.0080721746,0.0080721746,0.1006647665,0.0337131992,0.005223172,0.0422609507,0.0080721746,0.0151946816,0.0351377035,0.149098666,0.0750237401,0.005223172,0.0023741691,0.0109211778,0.0394112055,0.0123456793,0.023741691,0.0308641979,0.0109211778,0.0137701809,0.0066476735,0.0037986704,0.0066476735,0.0080721746,0.0080721746,0.2459639208,3.16367695632E-05,1435
franks,stephen,47,0.0502602116,0.0387375339,0.1253885028,0.0203813966,0.0158577613,0.0303500057,0.0376797243,0.0417739905,0.0114598587,0.0195727678,0.0164816522,0.0120223326,0.0179936152,0.0282953338,0.0284859056,0.0467326725,0.0851245509,0.0285305461,0.0164067354,0.0243121696,0.0090885446,0.0219014857,0.0561010447,0.0755074153,0.0294685959,0.014859307,0.013571577,0.0310115122,0.0321738379,0.0204694369,0.0051722039,234604
gallagher,martin,47,0.0503602248,0.0644010377,0.0238745552,0.0135270744,0.020495109,0.0300799757,0.0359354978,0.0803728854,0.0282323913,0.0323997132,0.0337973067,0.0280534088,0.0168363662,0.0093802442,0.0603466575,0.0280030969,0.0443687379,0.0249398336,0.0393687139,0.0157815418,0.0179747903,0.0302753866,0.0429917677,0.0231997751,0.0512301082,0.0253623986,0.0527457879,0.0200937311,0.0333713132,0.0222006499,0.0007275134,32999
goff,phil,47,0.0916668773,0.0250472426,0.0663138666,0.0188433534,0.0325658663,0.0497248017,0.093038671,0.0888217014,0.0189655323,0.0241470095,0.0133437804,0.0139716063,0.0078244258,0.0061961358,0.0207864025,0.0205799408,0.1643875388,0.020716198,0.0117504194,0.0137653121,0.0088933655,0.0253053045,0.0219395581,0.0372291217,0.0200474269,0.0189183236,0.0105592401,0.0147012578,0.0253164307,0.0146332034,0.0013587277,61630
gosche,mark,47,0.0162803705,0.0319691517,0.015645957,0.018371306,0.0793804609,0.0126512798,0.0109268453,0.0996470407,0.0308557933,0.0447821916,0.0229244596,0.0149437435,0.0082744975,0.0072348783,0.0348161749,0.0159200842,0.0217011188,0.0209200447,0.016179056,0.0305694499,0.0120244833,0.0260286601,0.0796012585,0.0134331049,0.0461713932,0.0229492916,0.0857217627,0.0233506368,0.0341467812,0.1025787889,0.0006619911,30027
goudie,sandra,47,0.0179390559,0.0475047611,0.0449353542,0.0418354925,0.0195730304,0.0285826471,0.0753288708,0.0244346365,0.0121579057,0.022776635,0.0149344348,0.0234843066,0.0508808028,0.0242399441,0.0193841884,0.0352200946,0.0266929526,0.0269286984,0.0478456111,0.0199305092,0.0137523204,0.0269892794,0.0380460994,0.1191813363,0.0238321762,0.0302574355,0.0305895667,0.0400729695,0.0330633067,0.0196055968,0.0009683277,43922
gudgeon,bill,47,0.0722274587,0.0402677044,0.033387183,0.0183601613,0.0227847002,0.0230757117,0.0244160205,0.0328660668,0.018346595,0.0669659885,0.0381182931,0.0151326899,0.0181376114,0.1488447329,0.0745616853,0.0270861423,0.0168266862,0.0174436403,0.0180163807,0.0212819089,0.0107674956,0.0209036858,0.042026468,0.0385785671,0.0390286741,0.0356522321,0.0126933978,0.0147079056,0.0209239935,0.0165699653,0.0005470185,24812
harawira,hone,47,0.0040835318,0.0040835318,0.0531045768,0.0089869279,0.0065336507,0.0040835318,0.0359477116,0.0065336507,0.0065336507,0.0089869279,0.0040835318,0.0138888889,0.0089869279,0.4060457399,0.0089869279,0.0163398694,0.0065336507,0.0065336507,0.0089869279,0.0457516336,0.0482026158,0.0114379084,0.0040835318,0.0138888889,0.1045751655,0.0040835318,0.0040835318,0.0653594775,0.0751633995,0.0040835318,1.59175942827E-05,722
hartley,ann,47,0.0323313426,0.0277643735,0.0569272637,0.0103244391,0.0146608777,0.0850847825,0.0142688886,0.0492725345,0.01244043,0.0116476757,0.0102471144,0.0087894572,0.0187894125,0.0145114325,0.0135326704,0.0324979284,0.0208035424,0.013499377,0.0136637026,0.0123512853,0.0156537623,0.0150281474,0.0363593254,0.0524838804,0.2506286183,0.0125931473,0.0243051175,0.01691579,0.0830909345,0.0195322727,0.0002296147,10415
hawkins,george,47,0.1040887094,0.0356070443,0.0276274137,0.0207975888,0.0168070311,0.0613776478,0.1201944799,0.0359346322,0.0120682535,0.0278826232,0.0260184954,0.0133384608,0.0084318856,0.0090225814,0.0186427506,0.045262845,0.0604998079,0.014883829,0.0414071302,0.0086637581,0.0145835097,0.0494636931,0.0543891571,0.030530026,0.021591553,0.0209171523,0.0362309765,0.0118981273,0.0255144452,0.0263242027,0.0002934834,13312
heatley,phil,47,0.026226972,0.0774488376,0.0301299362,0.0280983201,0.0172246433,0.0312628479,0.0399923738,0.0379068408,0.016826944,0.0187185623,0.0272082383,0.0537817421,0.0991546763,0.0365082537,0.0198288267,0.031023571,0.0163440333,0.0227834986,0.0305547911,0.0288418815,0.0115768423,0.0248982744,0.0449434722,0.059901001,0.0236110247,0.0205630195,0.0336382497,0.0190804278,0.0486164662,0.0233054604,0.001706269,77394
hereora,dave,47,0.0205979744,0.0236069781,0.011291469,0.0201622736,0.0630887297,0.0161129938,0.0334427786,0.0592125754,0.066323422,0.0493692325,0.0744548221,0.0146665412,0.0117480341,0.0774407128,0.0371213026,0.0360802742,0.0094082916,0.0146523089,0.0165469872,0.0182925848,0.012754129,0.0716791186,0.0142696346,0.0183422641,0.0277920678,0.0457978429,0.0448172032,0.0166888328,0.0157754213,0.0584628283,0.0003168086,14370
hide,rodney,47,0.0331695021,0.0209533281,0.0250992692,0.0282137751,0.0672452918,0.0288377522,0.0137252967,0.0976508134,0.0197136419,0.0162433829,0.0149658743,0.0130047051,0.0090273306,0.0248029434,0.0340715488,0.0168184705,0.0187622362,0.0299004787,0.0177894383,0.0124160502,0.0129930385,0.017147749,0.0638189759,0.0259188825,0.1370127977,0.0220104929,0.023474411,0.0200800224,0.1076953151,0.0274371954,0.0026294675,119269
hobbs,marian,47,0.0570362608,0.0449722659,0.038898581,0.0147233571,0.0157189786,0.0362708672,0.1244601325,0.0223496112,0.0250638108,0.0299150645,0.037808757,0.0419315363,0.0789429532,0.0116968899,0.0310309677,0.0346928723,0.0133666481,0.0269087871,0.0585243997,0.0172245348,0.010569059,0.025518627,0.036067789,0.0399397949,0.0265347735,0.0192255079,0.0171782823,0.0163452491,0.0306321529,0.016451506,0.0011052366,50132
